iter	Passed	Remaining
0	59	59088
1	60	30034
2	60	20134
3	60	15181
4	61	12196
5	61	10212
6	61	8791
7	62	7726
8	62	6894
9	62	6228
10	63	5684
11	63	5235
12	63	4853
13	64	4526
14	64	4242
15	64	3992
16	65	3773
17	65	3577
18	65	3401
19	66	3245
20	66	3101
21	66	2970
22	67	2850
23	67	2739
24	67	2641
25	68	2552
26	68	2467
27	68	2387
28	69	2313
29	69	2244
30	69	2180
31	70	2120
32	70	2063
33	70	2010
34	71	1959
35	71	1911
36	71	1866
37	72	1823
38	72	1783
39	72	1744
40	73	1707
41	73	1671
42	73	1638
43	73	1606
44	74	1575
45	74	1546
46	74	1518
47	75	1491
48	75	1464
49	75	1439
50	76	1415
51	76	1392
52	76	1371
53	77	1350
54	77	1329
55	77	1309
56	77	1289
57	78	1271
58	78	1253
59	78	1236
60	79	1219
61	79	1203
62	79	1188
63	80	1173
64	80	1157
65	80	1143
66	81	1129
67	81	1115
68	81	1102
69	82	1089
70	82	1076
71	82	1064
72	82	1052
73	83	1040
74	83	1029
75	83	1019
76	84	1008
77	84	998
78	84	988
79	85	978
80	85	969
81	85	959
82	85	948
83	86	939
84	86	930
85	86	922
86	87	913
87	87	905
88	87	897
89	87	889
90	88	881
91	88	874
92	88	866
93	89	859
94	89	852
95	89	846
96	90	839
97	90	833
98	90	826
99	91	819
100	91	814
101	91	807
102	92	801
103	92	796
104	92	790
105	93	785
106	93	779
107	93	774
108	94	768
109	94	763
110	94	758
111	94	753
112	95	748
113	95	743
114	95	738
115	96	733
116	96	727
117	96	723
118	97	718
119	97	714
120	97	709
121	97	704
122	98	700
123	98	696
124	98	692
125	99	688
126	99	683
127	99	679
128	100	675
129	100	672
130	100	668
131	101	664
132	101	660
133	101	656
134	101	652
135	102	649
136	102	645
137	102	642
138	103	638
139	103	635
140	103	632
141	103	628
142	104	624
143	104	621
144	104	618
145	105	615
146	105	612
147	105	609
148	106	606
149	106	603
150	106	600
151	107	597
152	107	594
153	107	591
154	107	588
155	108	586
156	108	583
157	109	580
158	109	578
159	109	575
160	109	572
161	110	569
162	110	567
163	110	564
164	111	561
165	111	559
166	111	556
167	111	554
168	112	552
169	112	549
170	112	547
171	113	545
172	113	542
173	113	540
174	114	537
175	114	535
176	114	533
177	115	531
178	115	529
179	115	527
180	115	524
181	116	522
182	116	520
183	117	518
184	117	516
185	117	514
186	117	512
187	118	510
188	118	508
189	118	506
190	119	504
191	119	502
192	119	500
193	120	498
194	120	496
195	120	495
196	120	493
197	121	491
198	121	489
199	121	487
200	122	485
201	122	484
202	122	482
203	123	480
204	123	478
205	123	477
206	124	475
207	124	473
208	124	472
209	125	470
210	125	469
211	125	467
212	126	465
213	126	464
214	126	462
215	126	460
216	127	459
217	127	457
218	127	455
219	128	454
220	128	452
221	128	451
222	129	449
223	129	448
224	129	446
225	130	445
226	130	443
227	130	442
228	130	440
