iter	Passed	Remaining
0	55	55725
1	56	28047
2	56	18809
3	57	14208
4	57	11432
5	57	9582
6	58	8264
7	58	7276
8	59	6501
9	59	5886
10	59	5377
11	60	4958
12	60	4605
13	61	4296
14	61	4032
15	61	3798
16	62	3591
17	62	3408
18	62	3243
19	63	3095
20	63	2960
21	63	2837
22	64	2727
23	64	2626
24	64	2532
25	65	2446
26	65	2365
27	66	2292
28	66	2221
29	66	2158
30	67	2098
31	67	2038
32	67	1984
33	68	1932
34	68	1884
35	68	1839
36	69	1796
37	69	1755
38	69	1716
39	69	1679
40	70	1644
41	70	1610
42	70	1579
43	71	1548
44	71	1519
45	71	1490
46	72	1464
47	72	1437
48	72	1413
49	73	1390
50	73	1367
51	73	1345
52	74	1324
53	74	1304
54	74	1284
55	75	1266
56	75	1247
57	75	1230
58	76	1213
59	76	1197
60	76	1180
61	77	1165
62	77	1150
63	77	1135
64	77	1121
65	78	1108
66	78	1095
67	78	1081
68	79	1069
69	79	1056
70	79	1044
71	80	1033
72	80	1021
73	80	1010
74	81	999
75	81	989
76	81	978
77	81	969
78	82	959
79	82	950
80	82	941
81	83	932
82	83	921
83	83	912
84	84	904
85	84	896
86	84	888
87	84	880
88	85	872
89	85	864
90	85	857
91	86	850
92	86	843
93	86	835
94	87	829
95	87	822
96	87	815
97	87	809
98	88	803
99	88	796
100	88	790
101	89	784
102	89	778
103	89	773
104	90	767
105	90	761
106	90	756
107	90	750
108	91	745
109	91	740
110	91	735
111	92	730
112	92	725
113	92	720
114	93	715
115	93	711
116	93	705
117	93	701
118	94	697
119	94	692
120	94	688
121	95	683
122	95	679
123	95	675
124	95	671
125	96	667
126	96	662
127	96	658
128	97	654
129	97	651
130	97	647
131	97	644
132	98	640
133	98	637
134	98	633
135	99	630
136	99	626
137	99	623
138	100	619
139	100	616
140	100	613
141	100	609
142	101	606
143	101	603
144	102	605
145	103	602
146	103	599
147	103	596
148	103	593
149	104	590
150	104	587
151	104	584
152	105	581
153	105	578
154	105	575
155	105	573
156	106	570
157	106	567
158	106	564
159	107	562
160	107	559
161	107	556
162	107	553
163	108	551
164	108	548
165	108	546
166	109	544
167	109	541
168	109	539
169	109	536
170	110	534
171	110	532
172	110	529
173	111	527
174	111	525
175	111	523
176	112	521
177	112	519
178	112	516
179	112	514
180	113	512
181	113	510
182	113	508
183	114	506
184	114	504
185	114	502
186	115	500
187	115	498
188	115	496
189	115	494
190	116	492
191	116	490
192	116	489
193	117	487
194	117	485
195	117	483
196	118	481
197	118	480
198	118	478
199	119	476
200	119	474
201	119	472
202	120	471
203	120	469
204	120	467
205	120	466
206	121	464
207	121	462
208	121	461
209	122	459
210	122	457
211	122	456
212	123	454
213	123	452
214	123	451
215	123	449
216	124	448
217	124	446
218	124	444
219	125	443
220	125	441
221	125	440
222	125	438
223	126	437
224	126	435
225	126	434
226	127	433
227	127	431
228	127	430
229	128	428
230	128	427
231	128	425
232	128	424
233	129	423
234	129	421
235	129	420
236	130	418
237	130	417
238	130	416
239	130	414
240	131	413
241	131	411
242	131	410
243	132	409
244	132	408
245	132	407
246	133	405
247	133	404
248	133	403
249	133	401
250	134	400
251	134	399
252	134	398
253	135	396
254	135	395
255	135	394
256	136	393
257	136	392
258	136	391
259	137	389
260	137	388
261	137	387
262	137	386
263	138	385
264	138	384
265	138	382
266	139	381
267	139	380
268	139	379
269	140	378
270	140	377
271	140	376
272	140	375
273	141	374
274	141	373
275	141	372
276	142	371
277	142	370
278	142	369
279	143	367
280	143	366
281	143	365
282	143	364
283	144	363
284	144	362
285	144	361
286	145	360
287	145	360
288	145	359
289	146	358
290	146	357
291	146	356
292	147	355
293	147	354
294	147	353
295	148	352
296	148	351
297	148	350
298	149	349
299	149	348
300	149	347
301	150	346
302	150	345
303	150	344
304	150	343
305	151	342
306	151	341
307	151	341
308	152	340
309	152	339
310	152	338
311	152	337
312	153	336
313	153	335
314	153	334
315	154	333
316	154	332
317	154	331
318	155	330
319	155	330
320	155	329
321	155	328
322	156	327
323	156	326
324	156	325
325	157	324
326	157	323
327	157	323
328	158	322
329	158	321
330	158	320
331	158	319
332	159	319
333	159	318
334	159	317
335	160	316
336	160	315
337	160	314
338	161	314
339	161	313
340	161	312
341	161	311
342	162	310
343	162	310
344	162	309
345	163	308
346	163	307
347	163	306
348	164	306
349	164	305
350	164	304
351	165	303
352	165	303
353	165	302
354	165	301
355	166	300
356	166	300
357	166	299
358	167	298
359	167	297
360	167	296
361	167	296
362	168	295
363	168	294
364	168	293
365	169	293
366	169	292
367	169	291
368	170	291
369	170	290
370	170	289
371	171	288
372	171	288
373	171	287
374	172	286
375	172	286
376	172	285
377	172	284
378	173	283
379	173	283
380	173	282
381	174	281
382	174	280
383	174	280
384	175	279
385	175	278
386	175	278
387	175	277
388	176	276
389	176	276
390	176	275
391	177	274
392	177	274
393	177	273
394	178	272
395	178	272
396	178	271
397	179	270
398	179	270
399	179	269
400	180	268
401	180	268
402	180	267
403	180	266
404	181	266
405	181	265
406	181	265
407	182	264
408	182	263
409	182	263
410	183	262
411	183	261
412	183	261
413	184	260
414	184	259
415	184	259
416	184	258
417	185	257
418	185	257
419	185	256
420	186	256
421	186	255
422	186	254
423	187	254
